# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,0.1,0,0.0,0.0,0.0
 0.48793966840174,1.011904256,3.0,0.0,0.04879396684017401,0.1,0,0.0,0.0,0.0
 0.6872852100838502,1.0236180480000001,3.0,0.0,0.06872852100838504,0.10000000000000007,0,0.0,0.0,0.0
 0.83836641154092,1.035142912,3.0,0.0,0.08383664115409202,0.10000000000000003,0,0.0,0.0,0.0
 0.9641616461983941,1.0464803839999999,3.0,0.0,0.09641616461983943,0.09999999999999998,0,0.0,0.0,0.0
 1.0736107301997322,1.0576320000000001,3.0,0.0,0.10736107301997325,0.10000000000000005,0,0.0,0.0,0.0
 1.1713180268398493,1.068599296,3.0,0.0,0.11713180268398496,0.1,0,0.0,0.0,0.0
 1.2600302218597772,1.079383808,3.0,0.0,0.12600302218597775,0.10000000000000006,0,0.0,0.0,0.0
 1.3415444234165335,1.089987072,3.0,0.0,0.13415444234165338,0.10000000000000007,0,0.0,0.0,0.0
 1.417114137957844,1.1004106240000002,3.0,0.0,0.14171141379578445,0.10000000000000007,0,0.0,0.0,0.0
 1.4876558741859627,1.110656,3.0,0.0,0.1487655874185963,0.09999999999999984,0,0.0,0.0,0.0
 1.5538644471124232,1.1207247359999999,3.0,0.0,0.15538644471124236,0.1,0,0.0,0.0,0.0
 1.6162819556005696,1.1306183680000002,3.0,0.0,0.161628195560057,0.10000000000000009,0,0.0,0.0,0.0
 1.6753413502925307,1.140338432,3.0,0.0,0.1675341350292531,0.09999999999999981,0,0.0,0.0,0.0
 1.73139518308213,1.1498864640000002,3.0,0.0,0.17313951830821303,0.1000000000000002,0,0.0,0.0,0.0
 1.784735274487508,1.159264,3.0,0.0,0.17847352744875083,0.0999999999999999,0,0.0,0.0,0.0
 1.8356065809426596,1.168472576,3.0,0.0,0.183560658094266,0.1000000000000001,0,0.0,0.0,0.0
 1.884217227391789,1.177513728,3.0,0.0,0.18842172273917895,0.10000000000000034,0,0.0,0.0,0.0
 1.9307459283914072,1.186388992,3.0,0.0,0.19307459283914077,0.09999999999999988,0,0.0,0.0,0.0
 1.9753475846037833,1.195099904,3.0,0.0,0.19753475846037838,0.09999999999999988,0,0.0,0.0,0.0
 2.018157575611974,1.203648,3.0,0.0,0.20181575756119743,0.09999999999999962,0,0.0,0.0,0.0
 2.0592951026989796,1.212034816,3.0,0.0,0.205929510269898,0.10000000000000027,0,0.0,0.0,0.0
 2.0988658270599396,1.2202618880000002,3.0,0.0,0.209886582705994,0.1,0,0.0,0.0,0.0
 2.136963977234994,1.2283307520000002,3.0,0.0,0.21369639772349944,0.1,0,0.0,0.0,0.0
 2.173674051002129,1.2362429440000002,3.0,0.0,0.2173674051002129,0.09999999999999955,0,0.0,0.0,0.0
 2.2090722034374535,1.2440000000000002,3.0,0.0,0.22090722034374535,0.09999999999999953,0,0.0,0.0,0.0
 2.2432273892764427,1.2516034560000002,3.0,0.0,0.2243227389276443,0.10000000000000032,0,0.0,0.0,0.0
 2.27620231086782,1.2590548480000001,3.0,0.0,0.22762023108678198,0.09999999999999883,0,0.0,0.0,0.0
 2.3080542108018185,1.2663557120000002,3.0,0.0,0.23080542108018182,0.09999999999999964,0,0.0,0.0,0.0
 2.3388355393229348,1.273507584,3.0,0.0,0.23388355393229343,0.09999999999999964,0,0.0,0.0,0.0
 2.368594519963264,1.280512,3.0,0.0,0.23685945199632633,0.09999999999999944,0,0.0,0.0,0.0
 2.3973756318107524,1.287370496,3.0,0.0,0.2397375631810752,0.10000000000000057,0,0.0,0.0,0.0
 2.425220023008223,1.2940846080000001,3.0,0.0,0.24252200230082227,0.1000000000000012,0,0.0,0.0,0.0
 2.452165867146839,1.3006558720000003,3.0,0.0,0.24521658671468388,0.09999999999999917,0,0.0,0.0,0.0
 2.4782486719455745,1.307085824,3.0,0.0,0.24782486719455743,0.10000000000000042,0,0.0,0.0,0.0
 2.503501547832556,1.313376,3.0,0.0,0.2503501547832556,0.10000000000000088,0,0.0,0.0,0.0
 2.5279554426453017,1.319527936,3.0,0.0,0.25279554426453016,0.09999999999999955,0,0.0,0.0,0.0
 2.5516393475567836,1.3255431680000003,3.0,0.0,0.25516393475567833,0.09999999999999953,0,0.0,0.0,0.0
 2.5745804784469266,1.3314232320000001,3.0,0.0,0.2574580478446927,0.10000000000000145,0,0.0,0.0,0.0
 2.5968044362254172,1.3371696640000001,3.0,0.0,0.2596804436225417,0.0999999999999995,0,0.0,0.0,0.0
 2.618335349033811,1.3427840000000002,3.0,0.0,0.26183353490338107,0.09999999999999948,0,0.0,0.0,0.0
 2.6391959987844795,1.3482677760000001,3.0,0.0,0.26391959987844793,0.09999999999999946,0,0.0,0.0,0.0
 2.6594079341086445,1.3536225280000003,3.0,0.0,0.2659407934108644,0.0999999999999989,0,0.0,0.0,0.0
 2.678991571468639,1.3588497920000002,3.0,0.0,0.26789915714686385,0.1,0,0.0,0.0,0.0
 2.697966285927236,1.363951104,3.0,0.0,0.2697966285927236,0.1,0,0.0,0.0,0.0
 2.7163504928488162,1.3689280000000001,3.0,0.0,0.2716350492848816,0.1,0,0.0,0.0,0.0
 2.7341617216251137,1.373782016,3.0,0.0,0.2734161721625113,0.09999999999999813,0,0.0,0.0,0.0
